Train Acc.	Valid Acc.	
81.370000	94.900000	
81.296000	94.610000	
82.516000	94.830000	
80.496000	94.610000	
80.926000	94.550000	
80.968000	94.540000	
79.190000	94.600000	
80.404000	94.630000	
81.038000	94.210000	
82.286000	94.490000	
76.836000	94.250000	
78.818000	94.180000	
80.504000	93.980000	
79.604000	93.870000	
77.532000	94.050000	
79.914000	94.330000	
79.410000	94.140000	
79.042000	93.850000	
81.308000	93.900000	
81.726000	93.690000	
79.682000	93.410000	
77.418000	92.870000	
79.936000	93.300000	
81.592000	93.640000	
81.054000	93.670000	
75.780000	93.430000	
81.888000	93.670000	
78.288000	93.660000	
79.684000	93.930000	
76.710000	93.040000	
80.012000	91.870000	
81.228000	93.380000	
80.328000	93.820000	
78.176000	92.500000	
80.460000	93.070000	
77.522000	93.280000	
79.078000	92.600000	
75.846000	93.110000	
75.390000	93.170000	
78.562000	92.690000	
78.102000	91.920000	
78.886000	91.450000	
78.340000	92.710000	
77.834000	91.710000	
78.446000	92.560000	
78.216000	91.720000	
77.696000	92.950000	
78.068000	94.360000	
78.672000	94.230000	
78.654000	94.270000	
79.722000	93.580000	
78.252000	94.230000	
80.620000	93.950000	
79.086000	94.220000	
76.954000	93.940000	
79.618000	94.120000	
81.200000	93.920000	
80.432000	94.280000	
77.948000	94.230000	
80.854000	94.060000	
80.208000	94.390000	
78.178000	94.010000	
81.978000	94.370000	
80.748000	94.550000	
80.248000	94.430000	
81.566000	94.190000	
77.604000	94.060000	
79.646000	94.290000	
78.604000	93.910000	
80.858000	94.030000	
81.676000	94.170000	
79.704000	94.020000	
82.632000	94.370000	
79.360000	93.990000	
78.686000	93.810000	
80.354000	94.190000	
78.644000	94.280000	
82.364000	94.080000	
82.616000	94.140000	
81.084000	94.200000	
80.260000	93.900000	
81.178000	94.570000	
77.310000	94.430000	
80.494000	93.710000	
79.320000	94.250000	
84.010000	93.920000	
80.560000	94.220000	
80.310000	93.910000	
80.942000	94.110000	
81.964000	94.170000	
78.218000	93.770000	
79.918000	94.330000	
78.670000	94.080000	
81.368000	93.650000	
80.352000	94.130000	
79.394000	94.260000	
83.690000	94.360000	
80.866000	94.240000	
78.848000	94.440000	
76.988000	94.380000	
83.666000	94.370000	
80.112000	94.220000	
78.182000	94.640000	
82.070000	94.180000	
82.678000	94.200000	
78.868000	94.780000	
83.910000	94.160000	
78.856000	93.850000	
82.264000	94.010000	
80.082000	94.100000	
81.262000	94.310000	
79.702000	94.110000	
82.500000	94.360000	
80.794000	94.330000	
78.808000	94.240000	
80.176000	93.950000	
83.198000	94.470000	
79.234000	94.150000	
80.948000	94.040000	
76.856000	94.380000	
79.510000	94.310000	
78.504000	94.220000	
80.610000	94.220000	
81.164000	94.460000	
84.596000	94.290000	
79.392000	93.960000	
81.362000	94.170000	
82.184000	94.290000	
80.106000	94.630000	
85.118000	94.040000	
84.290000	93.890000	
79.702000	94.360000	
84.172000	94.040000	
80.244000	94.090000	
82.532000	94.290000	
82.384000	94.500000	
83.954000	94.270000	
82.536000	94.420000	
84.938000	94.640000	
84.172000	94.300000	
78.894000	94.440000	
84.790000	94.650000	
80.414000	94.880000	
80.596000	94.350000	
82.346000	94.550000	
81.514000	94.700000	
80.998000	94.670000	
81.268000	94.630000	
80.572000	94.250000	
77.986000	94.240000	
79.394000	94.710000	
81.214000	94.280000	
83.784000	94.620000	
82.228000	94.480000	
81.562000	94.500000	
83.174000	94.430000	
82.262000	94.340000	
80.562000	94.230000	
82.882000	94.290000	
80.822000	94.130000	
81.946000	94.870000	
81.200000	94.660000	
82.330000	94.580000	
79.602000	94.320000	
85.154000	94.500000	
83.396000	94.700000	
82.724000	94.450000	
81.714000	94.620000	
83.690000	94.400000	
86.304000	94.570000	
82.182000	94.660000	
83.356000	94.410000	
80.996000	94.450000	
81.534000	94.360000	
79.032000	94.740000	
81.476000	94.610000	
80.388000	94.580000	
81.460000	94.450000	
83.314000	94.570000	
82.268000	94.420000	
84.534000	94.530000	
81.670000	94.690000	
